province,year,emission_total_mt,emission_per_gdp_t_per_10k_cny,per_capita_t
上海,2003,136.97880163156708,,
上海,2004,148.7175914298788,,
上海,2005,158.93902088128522,1.6910565272299147,8.409472004300806
上海,2006,165.24314560321343,1.5264391671736237,8.413602118289889
上海,2007,174.77467924559377,1.3260799044415983,8.467765467325279
上海,2008,178.15461035294973,1.1975089926998523,8.321093430777662
上海,2009,179.0588244317502,1.106571893851893,8.102209250305439
上海,2010,195.5030960203689,1.0671799385377896,8.48906192012023
上海,2011,201.49475638880847,0.9874241348851984,8.552409014805114
上海,2012,195.9264595276622,0.8997812138180298,8.167005399235606
上海,2013,207.6336928198307,0.8720660445867209,8.481768497542104
上海,2014,194.22001513945983,0.7480213951335856,7.872720516394804
上海,2015,195.32384834447143,0.7020582868867048,7.946454367146926
上海,2016,194.70985091740374,0.6288285742991152,7.892576040429823
上海,2017,196.15357202830774,0.5705737980886424,7.954321655649138
上海,2018,190.64166713556907,0.5047556524660876,7.702693621639154
上海,2019,192.9122403245068,0.4793898798358568,7.775584051773753
云南,2003,34.92856783561826,,
云南,2004,24.32519174389267,,
云南,2005,39.52292414838263,1.112287849277647,0.8881555988400591
云南,2006,46.812714267084836,1.1259281397668144,1.0442273983289057
云南,2007,46.52912189272369,0.9006798662935286,1.0307736351954737
云南,2008,49.82160197304055,0.813998659821595,1.0966674438265585
云南,2009,48.26564994022908,0.7214380727067814,1.0559100840128874
云南,2010,50.39335858247346,0.640330354673801,1.095031694534408
云南,2011,53.02951498109692,0.5486076739680218,1.1478249995908425
云南,2012,56.420427619008166,0.5007893240816255,1.2183206136689304
云南,2013,98.14017924512666,0.7533597854082034,2.1146343297807944
云南,2014,67.92155315109673,0.47580439472295627,1.4597367967138777
云南,2016,55.016777407366334,0.3279962405647347,1.1763262220946404
云南,2017,47.20799744532082,0.250246479889957,1.0059236617370726
云南,2018,59.66091258634796,0.27843151364530605,1.2685713924377622
云南,2019,94.82590705916928,0.39672625860978444,2.011580548561079
内蒙,2003,11.332778200597836,,
内蒙,2004,22.624700908390007,,
内蒙,2005,148.7758738207907,,
内蒙,2006,211.38662680282823,,
内蒙,2007,275.76522564827553,,
内蒙,2008,316.16910563280237,,
内蒙,2009,385.40086936980003,,
内蒙,2010,554.4141717572238,,
内蒙,2011,631.6783387854939,,
内蒙,2012,711.7525342612042,,
内蒙,2013,726.2636517123251,,
内蒙,2014,743.5439545937778,,
内蒙,2015,827.2705388781776,,
内蒙,2016,727.2193047272531,,
内蒙,2017,809.7295415230982,,
内蒙,2018,732.6490583479566,,
内蒙,2019,872.2619962641561,,
北京,2003,81.95178762327873,,
北京,2004,88.13363242789279,,
北京,2005,92.12050896786253,1.257205952559742,5.989629971902636
北京,2006,96.66792509249613,1.1215807712410648,6.037971586039733
北京,2007,102.88992150651751,0.9588638029012666,6.139016796331593
北京,2008,99.20893921372056,0.8153533910855103,5.601859921723351
北京,2009,100.38729865591829,0.7527711230450467,5.397166594404209
北京,2010,105.0396713131478,0.6811822889012322,5.353703940527411
北京,2011,95.31082402190707,0.5399037235072597,4.709032807406476
北京,2012,97.99804428143622,0.5007999891734909,4.715979031830424
北京,2013,94.0709764350172,0.43258979322641955,4.426869479294927
北京,2014,93.25544946790635,0.3955273013165363,4.295506654440643
北京,2015,92.7629962471174,0.3563134360209011,4.239625056998054
北京,2016,89.9818072511361,0.3164061903361831,4.09939896360529
北京,2017,85.5604844096039,0.2731301715500717,3.899748605724881
北京,2018,88.40907310188835,0.25143786396983153,4.033260634210235
北京,2019,88.15542678925796,0.23341919344734283,4.025361953847396
吉林,2003,67.75361906571378,,
吉林,2004,41.39211531467013,,
吉林,2005,88.65824653834807,3.154985464515429,3.2642947915444798
吉林,2006,106.56698704754257,3.2574350312560774,3.913587478793337
吉林,2007,154.3377651378384,3.732743975084974,5.653397990397011
吉林,2008,171.5034682873353,3.496217806648496,6.272987135601145
吉林,2009,169.71688164752152,3.077201270058229,6.19404677545699
吉林,2010,175.51709277448919,2.6978141805820743,6.3894100027116565
吉林,2011,210.99738159367,2.6852308130072413,7.743023177749358
吉林,2012,212.19241144017937,2.402731324269127,7.864803982215692
吉林,2013,198.38761897506657,2.064688081250823,7.4358178026636645
吉林,2014,204.8631946230369,2.0329780155109347,7.754095178767482
吉林,2015,194.74824362515383,1.9162664556883748,7.453051803488474
吉林,2016,184.13668083189128,1.7365651042758643,7.173224808410256
吉林,2017,171.2108053490456,1.5448056063254136,6.777941621102358
吉林,2018,111.85860029809854,0.9780072420139064,4.503164263208475
吉林,2019,81.90676231466617,0.6854466526743281,3.345864473638324
四川,2003,104.84462771537497,,
四川,2004,23.377623847082873,,
四川,2005,80.66475796868924,1.1069072367193957,0.9822790790147253
四川,2006,105.49913323422045,1.226434629151259,1.2914571334829288
四川,2007,153.6472979839744,1.4366945437745982,1.8905782943764537
四川,2008,154.19229306723417,1.1914653211185358,1.8947197476927278
四川,2009,185.26244230557245,1.2868843327098292,2.2634385132018626
四川,2010,200.16037221525,1.1459541425412354,2.488009598697949
四川,2011,276.7355771862197,1.2984294972867378,3.4317407885195896
四川,2012,307.30895726305516,1.2685664636925442,3.8009765895244922
四川,2013,287.57243320933026,1.0706983037311615,3.5463365792246915
四川,2014,254.80961239594055,0.8679540573820678,3.1307238284302805
四川,2015,237.86972385778733,0.7715753098786126,2.9022660304756878
四川,2016,261.7037510683342,0.7724614249106656,3.1717822211651217
四川,2017,202.44159637434933,0.5255888848702247,2.4422921507340973
四川,2018,169.83847902474338,0.39008355503053216,2.041082550471619
四川,2019,134.88006873189562,0.28595308898694394,1.6151367349047492
天津,2003,66.20121365876663,,
天津,2004,78.2771264745021,,
天津,2005,88.98240969693035,2.777575530557197,8.531391150233015
天津,2006,95.51672306735841,2.658781435417075,8.885276564405434
天津,2007,103.44727403681642,2.4456776688452506,9.277782424826585
天津,2008,110.23020820530462,2.0883657277021888,9.373317024260597
天津,2009,122.34694942456483,2.099079528953176,9.963106630664889
天津,2010,139.15249990008962,1.9902811931473428,10.712278668213212
天津,2011,154.2893913013445,1.8722622961526127,11.50554744976469
天津,2012,160.32536079675523,1.7439939170755492,11.634641567253645
天津,2013,159.65147388633622,1.5845985577093875,11.322799566406824
天津,2014,158.10517130438132,1.4708552385701383,11.064042778473151
天津,2015,154.35309132115586,1.4174878900300836,10.726413573395126
天津,2016,148.94593237373917,1.296647796411066,10.32196343546356
天津,2017,143.99104296205374,1.1548663236237287,10.212130706528635
天津,2018,154.33680316698954,1.1508139016709258,11.15956638951479
天津,2019,158.46653470137085,1.1240993580382688,11.441627054250603
宁夏,2003,11.826499344349187,,
宁夏,2004,23.813519310914266,,
宁夏,2005,33.014315741493,5.622328975049897,5.539314721727013
宁夏,2006,13.635965909967902,1.9716549898739013,2.257610249994686
宁夏,2007,21.517423318293584,2.423406162663992,3.5274464456218992
宁夏,2008,26.55835428449544,2.302015626635645,4.297468330824505
宁夏,2009,88.35094330583144,6.876630082956993,14.136150928933029
宁夏,2010,59.54455850473866,3.7324991227191537,9.40672330248636
宁夏,2011,155.22130976195453,7.922283966822565,23.953905827462115
宁夏,2012,161.53253913828547,7.47144029316769,24.511766181833913
宁夏,2013,178.3468256134714,7.541410867836754,26.778802644665372
宁夏,2014,145.44870726916758,5.780031285533603,21.452611691617637
宁夏,2015,134.051893229499,5.0686994074752905,19.598230004312718
宁夏,2016,49.580691685710555,1.7376613635338223,7.133912472764108
宁夏,2017,50.10668901473562,1.53156525903948,7.107331775139805
宁夏,2018,198.5565511920307,5.5453429925719355,27.965711435497283
宁夏,2019,196.77625585920393,5.122380733026263,27.444387149121887
安徽,2003,46.95570923986832,,
安徽,2004,49.56444800972599,,
安徽,2005,71.13248593747831,1.2345746209882207,1.1622955218542206
安徽,2006,158.87669850990852,2.406274778267781,2.600273298034509
安徽,2007,213.756901735834,2.646161199997945,3.4939016302032364
安徽,2008,293.29628612420646,3.0264186697643884,4.780705560296764
安徽,2009,329.89168662260124,2.9818561064293774,5.380715815080757
安徽,2010,355.97982319503797,2.64185818647706,5.975823790415276
安徽,2011,382.3218910042251,2.312519376775875,6.401907083125002
安徽,2012,416.7548243854165,2.2389682029119222,6.971475817755378
安徽,2013,446.6122145478797,2.138107709366435,7.458453816764858
安徽,2014,464.32200237139705,2.029317295237458,7.742571325185877
安徽,2015,460.09681932437775,1.9057388747918738,7.654247534925599
安徽,2016,476.09268179607466,1.7763856909245657,7.891474917886204
安徽,2017,479.09158786873013,1.5894591161401448,7.9097174817356795
安徽,2018,406.67210930439796,1.1829669849127125,6.6930893565569125
安徽,2019,417.3995458071375,1.1105541224301778,6.851601211541981
山东,2003,329.2292539460377,,
山东,2004,240.58749946274145,,
山东,2005,457.298298419325,2.8366797041066256,4.944834541731455
山东,2006,711.4644482206792,3.7086345299243075,7.64275913869029
山东,2007,791.4984825072976,3.4421208658909634,8.4498610281552
山东,2008,828.3702368802443,3.0166212805450954,8.796540691093176
山东,2009,840.6153012706957,2.8060543083822775,8.876613529785592
山东,2010,877.2558984838504,2.5479848573714623,9.149519174841995
山东,2011,918.9630115352451,2.319325151519976,9.508153249200673
山东,2012,921.3024178803242,2.1138401164647,9.490136154515083
山东,2013,929.2067528400281,1.9335070525884879,9.534237152062675
山东,2014,1006.0640014721871,1.951525335185523,10.257585659382006
山东,2015,974.5724322028968,1.7353775829792446,9.878090737917057
山东,2016,1135.5175529457233,1.9019566198887876,11.385917506725391
山东,2017,945.256021861068,1.4779185627281837,9.421469369690701
山东,2018,658.2203621235418,0.96990522589685,6.531907930173086
山东,2019,756.1473675790406,1.049850352699076,7.482162750633689
山西,2003,110.06295726294644,,
山西,2004,78.9056085455394,,
山西,2005,256.27411276280037,6.223266458542991,7.638572660590175
山西,2006,296.52396108464444,6.231196778209268,8.785895143248725
山西,2007,404.4237872441112,6.749508290260373,11.919357124789602
山西,2008,405.30515961894264,5.555321686709376,11.882297262355399
山西,2009,397.5531030549768,5.497747304112413,11.600615788006326
山西,2010,407.91818109245423,4.530159154783211,11.413491356811813
山西,2011,453.0349978830458,4.1165913792972875,12.718556931023183
山西,2012,451.4252755755702,3.8192617035590595,12.723373043279883
山西,2013,452.75287850889424,3.7196871334469366,12.807719335470841
山西,2014,482.4425413796152,3.9200661524304476,13.674675209172765
山西,2015,484.96512661414783,4.029254713853722,13.781333521288659
山西,2016,472.2079997999861,3.8832575373556644,13.437905515082132
山西,2017,546.844183692235,3.725325011017263,15.579606372998148
山西,2018,404.2631231630455,2.502696839387149,11.543778502656924
山西,2019,333.77626408676446,1.928116596885012,9.544645813175993
广东,2003,253.8683847755243,,
广东,2004,211.2173951990207,,
广东,2005,304.01667261440326,1.3592744046320246,3.306685584233231
广东,2006,316.598111329759,1.199094467429048,3.353083153248877
广东,2007,359.4098877816056,1.1124313656827325,3.720599252397574
广东,2008,409.909437216832,1.0974376858140422,4.14342906314396
广东,2009,423.91849885907624,1.0541119484655899,4.1847828120343165
广东,2010,480.04052776801933,1.0252609982380225,4.597648958605683
广东,2011,520.7687678523308,0.9642151910999728,4.841658310267114
广东,2012,507.90520120076513,0.8748298262428436,4.600173908167423
广东,2013,518.6074119503478,0.8134086793988261,4.601662927687203
广东,2014,603.7245742834046,0.867502628530011,5.254805242261334
广东,2015,605.7341770802095,0.7989023817741431,5.186968462752265
广东,2016,636.4867102256748,0.7623197884212103,5.345034516507178
广东,2017,179.55781439549534,0.19306295416526387,1.4789376031257337
广东,2018,626.4664669591352,0.6149309767659822,5.073424578548228
广东,2019,630.7705650135033,0.5709979306365397,5.050609056077374
广西,2003,73.02586467310086,,
广西,2004,33.31836033963035,,
广西,2005,74.40785478741806,1.9635269768417487,1.5967350812750656
广西,2006,86.11436465286339,1.922281455709259,1.824843497623721
广西,2007,104.16878130823275,1.8747531010768261,2.1847479301223314
广西,2008,69.76448334386758,1.0631750460059979,1.4485980760769848
广西,2009,134.38076338284904,1.8552166576862943,2.7673139082135303
广西,2010,158.03691923791288,1.8140142244939494,3.42813273834952
广西,2011,211.5671444666667,2.020177647279753,4.544944027210885
广西,2012,225.1571308209325,1.958467119156381,4.796700699210322
广西,2013,231.95665859115377,1.8292246312568312,4.902909714461082
广西,2014,191.8445582073083,1.3844895119855976,4.021898494912123
广西,2015,107.24497555481018,0.7135299301061209,2.2291618282022485
广西,2016,30.11289697912732,0.1834228551709629,0.6199896433833091
广西,2017,41.71791310550226,0.23084664478439917,0.8501714511005148
广西,2018,180.45810216538334,0.9044748175112063,3.6478290310366552
广西,2019,95.79198615809953,0.4488531085354803,1.9227616651565542
新疆,2003,28.182232884256404,,
新疆,2004,43.00608004107198,,
新疆,2005,56.736909500338584,2.2311014353259373,2.8227318159372428
新疆,2006,48.423724426206924,1.6225071008948544,2.362132898839362
新疆,2007,61.775263128085165,1.7468403780139452,2.9486999106484566
新疆,2008,92.4435949373007,2.2095077544229236,4.338038242013172
新疆,2009,89.95199736837753,2.0970275642470573,4.166373199091132
新疆,2010,198.98052446862079,3.667573348852081,9.106660158746946
新疆,2011,206.78083664528458,3.1294393826091857,9.293520748102678
新疆,2012,265.3486175459401,3.5382174484424307,11.777568466308926
新疆,2013,297.213864619434,3.4890808675271647,13.007171318137154
新疆,2014,196.09378024031608,2.086059660861642,8.434141085604992
新疆,2015,130.41419297402695,1.36620879531126,5.468100334340752
新疆,2016,37.458841034630055,0.37784162675264077,1.5427858745729017
新疆,2017,34.089330642222784,0.29744285427040684,1.3745697839605961
新疆,2018,110.59230690237868,0.8435657005086054,4.3885836072372495
新疆,2019,20.746533044052402,0.14792642403191755,0.8107281377120907
江苏,2003,289.2190137628494,,
江苏,2004,325.1507942366051,,
江苏,2005,471.02003433413006,2.567440323637052,6.207433241092911
江苏,2006,497.8604267832575,2.3129296810851403,6.502879137712349
江苏,2007,576.3188369736978,2.185194537661231,7.4623700242612685
江苏,2008,595.6717512927887,1.8942868223406975,7.674204474269373
江苏,2009,644.4747175074336,1.837439963698613,8.251916997534362
江苏,2010,715.6978899712235,1.6969638317571074,9.095156817527304
江苏,2011,806.543020819442,1.6231659018896183,10.052885713815803
江苏,2012,825.3843311860527,1.5100777395350993,10.164831664852866
江苏,2013,893.7752510832196,1.4771874997243537,10.910342420449458
江苏,2014,899.9131746579912,1.3588045815127237,10.867204137881792
