province,year,synergy_score
上海,2005,
上海,2006,1.0641074194934794
上海,2007,1.0692186078597208
上海,2008,
上海,2009,
上海,2010,0.9670067533726712
上海,2011,0.8499810279421822
上海,2012,0.8798883249884601
上海,2013,0.8563223177634529
上海,2014,0.7991210997767418
上海,2015,0.8151951636977148
上海,2016,0.7537014782543064
上海,2017,0.6140900447513752
上海,2018,0.3262138334876816
上海,2019,0.2507194862386166
云南,2005,
云南,2006,-0.6561643460162858
云南,2007,-0.37924432663979446
云南,2008,-0.3186803077039649
云南,2009,-0.05898432661826347
云南,2010,0.05512450621734466
云南,2011,0.14385439386189064
云南,2012,0.14767010804653974
云南,2013,-0.2214841250161339
云南,2014,-0.10089661331323124
云南,2016,-0.27499605868114085
云南,2017,-0.3092235886112014
云南,2018,-0.24777944077377012
云南,2019,-0.40725651968329163
内蒙,2005,
内蒙,2006,
内蒙,2007,
内蒙,2008,
内蒙,2009,
内蒙,2010,
内蒙,2011,
内蒙,2012,
内蒙,2013,
内蒙,2014,
内蒙,2015,
内蒙,2016,
内蒙,2017,
内蒙,2018,
内蒙,2019,
北京,2005,
北京,2006,1.3561282199933358
北京,2007,0.8318805399001483
北京,2008,1.0577886748568677
北京,2009,1.6817131931436688
北京,2010,
北京,2011,1.6807744775983082
北京,2012,1.747257414413244
北京,2013,1.8317876566183924
北京,2014,1.948973557475893
北京,2015,1.9014647542441103
北京,2016,1.9619780316663145
北京,2017,1.9395872387212674
北京,2018,1.9768302811999492
北京,2019,2.043744254050378
吉林,2005,
吉林,2006,-0.4708141767799885
吉林,2007,-0.65631280571501
吉林,2008,-0.7849946082318465
吉林,2009,-0.6365738736754967
吉林,2010,-0.7024096601260111
吉林,2011,-0.926011195335463
吉林,2012,-0.923056686362979
吉林,2013,-1.0130639467148221
吉林,2014,-0.7003194515222516
吉林,2015,-0.6388945795988692
吉林,2016,-0.8288487165377999
吉林,2017,-0.7893319842312527
吉林,2018,-0.35642320409865624
吉林,2019,-0.246219140036955
四川,2005,
四川,2006,0.2905952555608241
四川,2007,0.18977536502542774
四川,2008,0.0825277916955372
四川,2009,0.11030170649382878
四川,2010,0.1462590952973008
四川,2011,0.2815991718798263
四川,2012,0.13927629486416904
四川,2013,0.16397211792077104
四川,2014,0.16591269831235475
四川,2015,0.30555023077924276
四川,2016,0.3930408583186913
四川,2017,0.3090725268616353
四川,2018,0.34228496247797296
四川,2019,0.48854305179749064
天津,2005,
天津,2006,0.34373754577120996
天津,2007,
天津,2008,
天津,2009,-0.21394125044166418
天津,2010,0.012798898671573116
天津,2011,0.057284778454391005
天津,2012,0.015157706967594635
天津,2013,-0.09427892250088984
天津,2014,-0.09023817883365845
天津,2015,0.07169357666896085
天津,2016,0.07177698272477294
天津,2017,-0.13420419296297134
天津,2018,-0.08391722648917166
天津,2019,-0.30144402740206355
宁夏,2005,
宁夏,2006,
宁夏,2007,
宁夏,2008,
宁夏,2009,
宁夏,2010,
宁夏,2011,
宁夏,2012,
宁夏,2013,
宁夏,2014,
宁夏,2015,
宁夏,2016,
宁夏,2017,
宁夏,2018,
宁夏,2019,
安徽,2005,
安徽,2006,-0.5035336985067912
安徽,2007,-0.4300155883107816
安徽,2008,-0.6113219278475794
安徽,2009,-0.5231294595219422
安徽,2010,-0.664949849072139
安徽,2011,-0.5088845931484709
安徽,2012,-0.507805252816953
安徽,2013,-0.4287781413683719
安徽,2014,-0.3161056642237102
安徽,2015,-0.3180919544872861
安徽,2016,-0.28261154970696617
安徽,2017,-0.23081668869682567
安徽,2018,-0.15720766999975955
安徽,2019,-0.20587201154762286
山东,2005,
山东,2006,-0.11291005109584173
山东,2007,-0.005942589731268627
山东,2008,-0.008833736138252168
山东,2009,0.08406099610836834
山东,2010,-0.024021480071314355
山东,2011,-0.052835626260801016
山东,2012,-0.021772889166497986
山东,2013,-0.021813968647487122
山东,2014,-0.11880394950479886
山东,2015,0.039838282784158505
山东,2016,0.04842099920476167
山东,2017,0.04681101761057238
山东,2018,0.15893506689829592
山东,2019,-0.012719469437614789
山西,2005,
山西,2006,-1.6056590909317383
山西,2007,-1.743014203912347
山西,2008,-1.4649900466218146
山西,2009,-1.3827779738998087
山西,2010,-1.2912792405136744
山西,2011,-1.3222411057525816
山西,2012,-1.3057124810680623
山西,2013,-1.2740265142811535
山西,2014,-1.3801561763659724
山西,2015,-1.4282800320106608
山西,2016,-1.466495163725717
山西,2017,-1.495521226094068
山西,2018,-1.350760204121991
山西,2019,-1.1440544114619284
广东,2005,
广东,2006,1.1691183368171716
广东,2007,1.149651589634895
广东,2008,1.1631105327360465
广东,2009,1.143046106150774
广东,2010,1.0784612905524735
广东,2011,0.9460502446630265
广东,2012,0.9468795366368219
广东,2013,0.9792483520410586
广东,2014,0.8388731315910662
广东,2015,0.8410748183644744
广东,2016,0.5644041021890178
广东,2017,1.0506980591480843
广东,2018,0.9233840449588616
广东,2019,0.794022664590269
广西,2005,
广西,2006,
广西,2007,
广西,2008,
广西,2009,
广西,2010,
广西,2011,
广西,2012,
广西,2013,
广西,2014,
广西,2015,
广西,2016,
广西,2017,
广西,2018,
广西,2019,
新疆,2005,
新疆,2006,
新疆,2007,
新疆,2008,
新疆,2009,
新疆,2010,
新疆,2011,
新疆,2012,
新疆,2013,
新疆,2014,
新疆,2015,
新疆,2016,
新疆,2017,
新疆,2018,
新疆,2019,
江苏,2005,
江苏,2006,0.615534337088227
江苏,2007,0.6951286869595562
江苏,2008,0.6057177168425673
江苏,2009,0.5188562724670905
江苏,2010,0.5162963126882184
江苏,2011,0.3931096904359613
江苏,2012,0.45179403323095774
江苏,2013,0.41734721548741055
江苏,2014,0.417938956625384
江苏,2015,0.381285698710784
江苏,2016,0.4032653928017404
江苏,2017,0.3069240475540796
江苏,2018,0.38011300305162804
江苏,2019,0.24897967624852732
江西,2005,
江西,2006,-0.04651642534572761
江西,2007,-0.05943709624460784
江西,2008,-0.013943473132520853
江西,2009,0.0168361414648391
江西,2010,0.3154996515284086
江西,2011,0.2866862345080773
江西,2012,0.24134765395512556
江西,2013,0.15468071702009034
江西,2014,0.08711521400700463
江西,2015,-0.004246146894294856
江西,2016,-0.03419074726629075
江西,2017,0.09997508218029917
江西,2018,0.15847025546398869
江西,2019,0.310556913743515
河北,2005,
河北,2006,-1.1148487612309081
河北,2007,-1.0534487176885756
河北,2008,-1.035292183523504
河北,2009,-0.9474179023592046
河北,2010,-0.7420977035381112
河北,2011,-0.9403950029284162
河北,2012,-1.0677547960179736
河北,2013,-1.1674809079796629
河北,2014,-1.0570467571002222
河北,2015,-1.0369961528703882
河北,2016,-1.092058661019014
河北,2017,-0.9349981215606642
河北,2018,-1.1293606608573832
河北,2019,-1.0584252412975204
河南,2005,
河南,2006,-0.9258386353221969
河南,2007,-0.8220230578833199
河南,2008,-0.7511298467826909
河南,2009,-0.7745021255577732
河南,2010,-0.6230774062249548
河南,2011,-0.6972157081180981
河南,2012,-0.4565013080293173
河南,2013,-0.30993525079972584
河南,2014,-0.280458890675103
河南,2015,-0.27577173385514586
河南,2016,-0.06641796973596967
河南,2017,-0.02970928218927904
河南,2018,-0.11821962830711635
河南,2019,-0.032488610119344424
浙江,2005,
浙江,2006,0.6090954059475059
浙江,2007,0.6433818595319029
浙江,2008,0.750098729043993
浙江,2009,0.7898673154979646
浙江,2010,0.779340903712755
浙江,2011,0.696640479134162
浙江,2012,0.8014608511728222
浙江,2013,0.7906424487128642
浙江,2014,0.7696554670388499
浙江,2015,0.7416774262571642
浙江,2016,0.7719649343291279
浙江,2017,0.5950576486871253
浙江,2018,0.7215748027629239
浙江,2019,0.6962437133368056
海南,2005,
海南,2006,1.7697320798267289
海南,2007,1.8717034032490867
海南,2008,1.932471620033891
海南,2009,1.739748620291393
海南,2010,1.7971539910948082
海南,2011,1.695969063265434
海南,2012,1.583384733204377
海南,2013,1.6207016483117838
海南,2014,1.4855912473609552
海南,2015,1.1836387403060298
海南,2016,1.2384333657497992
海南,2017,0.9464428506811049
海南,2018,1.0425029203042318
海南,2019,1.1112896007760111
湖北,2005,
湖北,2006,0.032470654549467994
湖北,2007,0.0814985656466237
湖北,2008,0.06545944930391388
湖北,2009,-0.010667609122489943
湖北,2010,-0.36485492807137254
湖北,2011,-0.3407426649216375
湖北,2012,-0.29949493278676886
湖北,2013,-0.1474328853173539
湖北,2014,-0.1826822156566862
湖北,2015,-0.22049164572759414
湖北,2016,-0.34045330293589193
湖北,2017,-0.38922322855782954
湖北,2018,-0.3356588981418115
湖北,2019,-0.439354608857492
湖南,2005,
湖南,2006,-0.3212155500495277
湖南,2007,-0.32112384723727516
湖南,2008,-0.2546654311313382
湖南,2009,-0.19462014526521954
湖南,2010,-0.07291927421989791
湖南,2011,-0.1499733130753269
湖南,2012,-0.09664458217830521
湖南,2013,-0.036366424060907315
湖南,2014,0.07108576754488882
湖南,2015,-0.05728075018149495
湖南,2016,-0.06047784127141262
湖南,2017,-0.23741701538888488
湖南,2018,-0.0685506030736946
湖南,2019,-0.052523477177198796
甘肃,2005,
甘肃,2006,-0.4543438545950226
甘肃,2007,-0.9617013122939246
甘肃,2008,-0.7435544921624729
甘肃,2009,-0.6811731171926421
甘肃,2010,-0.8683093893378592
甘肃,2011,-0.9206193952149863
甘肃,2012,-0.8784783873695905
甘肃,2013,-0.659618454940936
甘肃,2014,-0.848956144672722
甘肃,2015,-0.8874923315228073
甘肃,2016,-0.717367936326522
甘肃,2018,-0.5274374927732008
甘肃,2019,-0.37880092343086746
福建,2005,
福建,2006,0.4640532824373249
福建,2007,0.37795390320823224
福建,2008,0.3778526211447225
福建,2009,0.4011805080682481
福建,2010,0.4931690697767773
福建,2011,0.4986994672010075
福建,2012,0.5212807572503877
福建,2013,0.6566753362692224
福建,2014,0.7319048019509694
福建,2015,0.6734685074243015
福建,2016,0.776031936337332
福建,2017,0.8521023853853908
福建,2018,0.5811131392071229
福建,2019,0.5547956529446796
贵州,2005,
贵州,2006,-1.1208692756057888
贵州,2007,-1.0108682171903676
贵州,2008,-1.296485565812902
贵州,2009,-1.5424606984004792
贵州,2010,-1.3499148128593865
贵州,2011,-1.0680296079307328
贵州,2012,-1.3544570079991929
贵州,2013,-1.3082998164528996
贵州,2014,-1.3235062239506266
贵州,2015,-1.0344260714643412
贵州,2016,-0.9142011913618511
贵州,2017,-0.9000415186472022
贵州,2018,-0.43697427819388074
贵州,2019,-0.5622416769188285
辽宁,2005,
辽宁,2006,0.08310701369370323
辽宁,2007,0.017212152769443816
辽宁,2008,0.1399361649562225
辽宁,2009,-0.2095302569387933
辽宁,2010,-0.261545521946324
辽宁,2011,-0.20334546661561137
辽宁,2012,-0.16447187954662967
辽宁,2013,-0.2308504376643472
辽宁,2014,-0.2850043289416293
辽宁,2015,0.05529903888138619
辽宁,2016,-0.22863325826799497
辽宁,2017,-0.03157282926345654
辽宁,2018,-0.1432514568570463
辽宁,2019,0.0363302752224542
重庆,2005,
重庆,2006,-0.6177252502260471
重庆,2007,-0.07047044055107347
重庆,2008,-0.148201909740612
重庆,2009,-0.032754310548873664
重庆,2010,0.06767956331284056
重庆,2011,0.010147872620805631
重庆,2012,0.22014270399168834
重庆,2013,0.36707829190348046
重庆,2014,0.19537565812177698
重庆,2015,0.19530190880004203
重庆,2016,0.3125737469138249
重庆,2017,0.08218505153544974
重庆,2018,0.12677507656920622
重庆,2019,0.26647301546206537
陕西,2005,
陕西,2006,0.03392785952182623
陕西,2007,0.10869262756689867
陕西,2008,0.29540563854152974
陕西,2009,0.009545327765259425
陕西,2010,-0.2510535493684809
陕西,2011,-0.26472596294689266
陕西,2012,-0.36110810015061134
陕西,2013,-0.4558071244696441
陕西,2014,-0.44253323530106276
陕西,2015,-0.6588668218449734
陕西,2016,-0.6869665653281277
陕西,2017,-0.8090521699279447
陕西,2018,-1.1241639800031749
陕西,2019,-1.2808972726271866
青海,2008,-0.31397527168315287
青海,2009,-0.21520877298843705
青海,2010,-0.03662651482774912
青海,2011,-0.062219474987042
青海,2012,-0.15206086718467626
青海,2013,-0.3192459884522717
青海,2014,-0.29297162830232626
青海,2015,-0.4456013291507315
黑龙,2005,
黑龙,2006,
黑龙,2007,
黑龙,2008,
黑龙,2009,
黑龙,2010,
黑龙,2011,
黑龙,2012,
黑龙,2013,
黑龙,2014,
黑龙,2015,
黑龙,2016,
黑龙,2017,
黑龙,2018,
黑龙,2019,
上海,2020,0.23886341820233906
上海,2021,0.1970175963687496
上海,2022,0.122608236395651
云南,2020,-0.27033145151420734
云南,2021,-0.1153316408239839
云南,2022,-0.057291504872590604
北京,2020,1.9848594883770094
北京,2021,1.8888023728061811
北京,2022,1.876719653563093
吉林,2020,-0.012671531979730533
吉林,2021,0.03251413292144138
吉林,2022,0.14654158221094649
四川,2020,0.5553261324615042
四川,2021,0.5486027852425716
四川,2022,0.6355555868154095
天津,2020,-0.21078752863703012
天津,2021,-0.0723141411717691
天津,2022,-0.13240645923354902
宁夏,2020,
宁夏,2021,
宁夏,2022,
安徽,2020,-0.37914104836271323
安徽,2021,-0.18033547729297963
安徽,2022,-0.023608510479654107
山东,2020,-0.09401039874778751
山东,2021,0.03242542017586346
山东,2022,0.09052175231519008
山西,2020,-1.0937852948909272
山西,2021,-1.289337210443621
山西,2022,-0.8095588875068918
广东,2020,0.8360794817589787
广东,2021,0.8060034590712368
广东,2022,0.8761572500415835
广西,2020,
广西,2021,
广西,2022,
新疆,2020,
新疆,2021,
新疆,2022,
江苏,2020,0.268125291654699
江苏,2021,0.2363912615418781
江苏,2022,0.15771267770656658
江西,2020,0.20637657380911842
江西,2021,0.23562663945073517
江西,2022,0.1133403139122349
河北,2020,-1.3719583731761995
河北,2021,-1.187047370681971
河北,2022,-1.2508605386848235
河南,2020,-0.010410030760098055
河南,2021,-0.09810722616504373
河南,2022,-0.32069039972487484
浙江,2020,0.7829708499039522
浙江,2021,0.5811379708741384
浙江,2022,0.7746109582890636
海南,2020,0.9635148196427735
海南,2021,1.0426940629805976
海南,2022,0.9958786002088871
湖北,2020,-0.08242511867739698
湖北,2021,0.0014198650100513688
湖北,2022,-0.202456915195981
湖南,2020,-0.19633443653913554
湖南,2021,0.09717720544892869
湖南,2022,0.030677803008606647
甘肃,2020,-0.5643485043477068
甘肃,2021,-0.6420364093050119
甘肃,2022,-0.6997609610316023
福建,2020,0.7261309098293867
福建,2021,0.6211215465749871
福建,2022,0.5121316493658331
贵州,2020,-0.2936946598673833
贵州,2021,-0.03863992613360706
贵州,2022,0.09545550907927869
辽宁,2020,-0.3447452615662036
辽宁,2021,-0.38586287521294493
辽宁,2022,-0.5988926761522967
重庆,2020,0.38586433087592464
重庆,2021,0.34883362472614254
重庆,2022,0.473791109396468
陕西,2020,-0.9488235253690185
陕西,2021,-1.0346246939200023
陕西,2022,-1.220890659894534
青海,2020,-0.317447445907916
青海,2021,-0.6376921508365321
青海,2022,-0.5312331921260722
